user_hash,is_generic_email,account_active,login_count,fail_login_count,days_since_signup,days_since_last_login,signup_hour,signup_day_of_week,signup_month,last_login_hour,last_login_day_of_week,has_first_name,has_last_name,profile_completeness,workspace_count,organization_count,role_count,is_admin,is_guest,has_avatar,mfa_enabled,login_frequency,churned
a9ea3103eee9c7623c239f99f7415429,0,1,5,0,869.14,4.35,10,1,8,13,2,1,1,2,1,1,4,1,0,1,0,0.0058,0
b6b6747e8e39b5dd60c55757d96767e1,0,1,137,0,869.12,4.38,10,1,8,13,2,1,1,2,1,1,4,1,0,1,0,0.1576,0
31fd932dd860b3e4b74fe6c2f2da9493,0,1,10,0,677.02,4.39,12,4,3,12,2,1,1,2,1,1,3,1,0,1,0,0.0148,0
8bb02f3cc61dc3715ba2b06013175bc0,0,1,14,0,547.03,4.41,11,1,7,12,2,0,0,0,1,1,3,0,0,1,0,0.0256,0
0adcbfaffe8a48885dd57b28b08c6b23,0,1,27,0,905.04,4.45,10,0,7,11,2,1,1,2,2,2,11,1,0,1,0,0.0298,0
4463301b9e0812256f39d3c1923ba615,0,1,6,0,102.85,4.49,14,4,10,10,2,1,1,2,2,2,9,1,0,1,0,0.0583,0
44b9e322787a209069f1d786014b7dc3,0,1,58,0,869.01,4.49,10,1,8,10,2,0,0,0,1,1,4,0,1,1,0,0.0667,0
4d2cecf439542482e2e0cebd17c637c1,0,1,218,0,868.97,4.52,10,1,8,9,2,1,1,2,1,1,4,1,0,1,0,0.2509,0
5c789809309049c608fd9ba481c797e8,0,1,9,0,475.85,4.53,13,2,9,9,2,0,0,0,1,1,3,0,0,1,0,0.0189,0
ceea9ff0d98d4e7d0be983c93edfa3b5,0,1,7,0,868.95,4.54,10,1,8,9,2,0,0,0,1,1,4,0,0,1,0,0.0081,0
5a28e87c9de65366946695bf4e5d063b,0,1,59,0,868.95,4.54,10,1,8,9,2,1,1,2,1,1,4,0,0,1,0,0.0679,0
0fe6ecf2a2fb5e1e1187a03f23731ba6,0,1,199,0,589.02,4.56,8,1,6,8,2,1,1,2,2,2,9,1,0,1,0,0.3379,0
89d2d9da539e34cf67b2c2a0f34eb625,0,1,4,0,868.91,4.58,10,1,8,8,2,1,1,2,1,1,4,1,0,1,0,0.0046,0
798e7f39f2fc623c973f12805987c484,0,1,1,0,35.32,4.97,15,1,12,22,1,1,1,2,1,1,3,1,0,1,0,0.0283,0
710326a8cf06e53a6410c7db869c5273,0,1,5,0,248.04,5.13,18,5,5,19,1,1,1,2,2,2,9,1,0,1,0,0.0202,0
af812d011529c97290c29c363f03908e,0,1,23,0,868.36,5.13,10,1,8,18,1,1,1,2,1,1,4,1,0,1,0,0.0265,0
58f09015634c913e3abc1e57dbd2a254,0,1,1,0,432.08,5.25,14,3,11,16,1,0,0,0,1,1,3,0,0,1,0,0.0023,0
8bdcf778497c272b4ca3bbdb7a5faa5d,0,1,15,0,991.99,5.25,16,3,4,16,1,1,1,2,1,1,8,1,0,1,0,0.0151,0
2471a3f81534450c8e9499f0638b051f,0,1,15,0,334.06,5.31,13,3,2,14,1,1,1,2,2,2,9,1,0,1,0,0.0449,0
c2922f6478686c0315581a04a728a52e,0,1,2,0,34.90,5.33,16,1,12,14,1,1,1,2,1,1,3,1,0,1,0,0.0573,0
f93b02559db7bd2cf9d5ce3ec7fb857d,0,1,21,0,607.01,5.35,13,3,5,13,1,0,0,0,1,1,3,0,0,1,0,0.0346,0
0373efe4fb114e71bc27f094c5392f92,0,1,1,0,34.96,5.36,14,1,12,13,1,0,1,1,1,1,3,1,0,1,0,0.0286,0
e7fc257ef00d4b0a999f9bd12ba8098b,0,1,17,0,868.11,5.39,10,1,8,12,1,0,0,0,1,1,6,0,0,1,0,0.0196,0
210207f626257db1fc88d4cfd21b5539,0,1,31,0,68.14,5.40,9,3,11,12,1,1,1,2,1,1,3,1,0,1,0,0.4549,0
6b63dfe16606c27b2f9de98751695dfb,0,1,6,0,868.05,5.45,10,1,8,11,1,0,0,0,1,1,4,0,0,1,0,0.0069,0
4d9a779b219750ce0a63c53a0e2df9d5,0,1,26,0,860.91,5.50,12,1,9,10,1,1,1,2,2,2,10,1,0,1,0,0.0302,0
ce1bd0d61f22e0cb697d985e81d97d9f,0,1,3,0,100.86,5.50,13,5,10,10,1,1,1,2,1,1,4,1,0,1,0,0.0297,0
06e35cf69ec6a1c72441a8e23aac7471,0,1,15,0,387.88,5.53,12,5,12,9,1,1,1,2,1,1,3,1,0,1,0,0.0387,0
a95732a4b45989c5b1d0338a3dc60d09,0,1,171,0,867.92,5.57,10,1,8,8,1,0,0,0,1,1,4,0,0,1,0,0.1970,0
382478029e341f39f0ecee2ead05ca8d,0,1,6,0,867.87,5.62,10,1,8,7,1,1,1,2,1,1,4,1,0,1,0,0.0069,0
58e3fbd000ac83c82b78033d2cb5eb40,0,1,20,0,298.01,5.79,2,4,3,3,1,1,1,2,1,1,6,1,0,1,0,0.0671,0
61eae83dd7cc7b6bd9cc0e78481318d9,0,1,2,0,157.80,5.81,7,4,8,2,1,1,1,2,1,1,3,1,0,1,0,0.0127,0
40800dc0f61e173a403791c1834a7405,0,1,2,0,867.59,5.91,10,1,8,0,1,1,1,2,1,1,4,1,0,1,0,0.0023,0
c34f2c111c66cea4365e0abf058900cf,0,1,7,0,369.96,5.99,23,1,1,22,0,1,1,2,1,1,3,1,0,1,1,0.0189,0
8007d0ef02d2b5cc72fad10bdfa044d8,0,1,55,0,834.28,8.24,9,4,9,16,5,1,1,2,1,1,6,1,0,1,0,0.0659,0
db8c3a6084e2b43d59e7b7a52adbe65f,0,1,4,0,865.25,8.24,10,1,8,16,5,1,1,2,1,1,4,1,0,1,0,0.0046,0
7fd6749e3b28590a1030d443a477dca5,0,1,2,0,31.99,8.25,16,1,12,16,5,1,1,2,1,1,5,0,0,1,0,0.0625,0
9e165e4b144c931fcb28bf9e628f4ea6,0,1,4,0,247.99,8.41,12,2,5,12,5,1,1,2,2,2,9,1,0,1,0,0.0161,0
adc3b25c116c39f2ade4e5fa0e419424,0,1,11,0,212.76,8.45,17,2,6,11,5,1,1,2,2,2,9,1,0,0,0,0.0517,0
2394cb23987353586dcf3bc53e2a2395,0,1,67,0,520.95,8.69,6,2,8,5,5,0,0,0,1,1,3,0,0,1,0,0.1286,0
aa109b93d23da28979d9cca4ebcf3e40,0,1,38,0,864.72,8.78,10,1,8,3,5,1,1,2,1,1,4,1,0,1,0,0.0439,0
